#run-time information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	date run: 	Mon Mar 25 15:22:00 CDT 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	sct directory: 	/usr/local/slingshot_tools_26Jul2022_rev2/sct",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	sct timestamp: 	2023-10-26 14:35:02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	'non-standard' SCT args: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#	ls config file:	-rwxr-xr-x 1 tuminell employee 17862 Mar 25 15:21 /var/users/systems/eni_revc/eni_revc.yaml",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable_id,src_conn_a,src_conn_b,dst_conn_a,dst_conn_b,stage,src_egress_a,src_egress_b,dst_egress_a,dst_egress_b,link_type,src_group,dst_group,part_number,part_length,calculated_distance,route,,,,,,,,,,,,,
3002.3000.00.0006,x3002.c0.r48.j31,none,x3000.c0.r48.j4,none,1,x3002-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,2.9199064,"['x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3002.3001.01.0000,x3002.c0.r48.j28,none,x3001.c0.r48.j5,none,1,x3002-RIGHT,none,x3001-LEFT,none,local,0,0,R4K62A,1.64,1.5614431,['x3002_RIGHT-x3001_LEFT'],,,,,,,,,,,,,
3002.3000.01.0000,x3002.c0.r48.j32,none,x3000.c0.r48.j3,none,1,x3002-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,2.9197893,"['x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3003.3001.00.0000,x3003.c0.r47.j29,none,x3001.c0.r48.j2,none,1,x3003-RIGHT,none,x3001-LEFT,none,local,0,0,R4K78A,5,2.9643033,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT']",,,,,,,,,,,,,
3003.3001.00.0001,x3003.c0.r47.j30,none,x3001.c0.r48.j1,none,1,x3003-RIGHT,none,x3001-LEFT,none,local,0,0,R4K78A,5,2.9642799,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT']",,,,,,,,,,,,,
3003.3001.00.0002,x3003.c0.r47.j31,none,x3001.c0.r47.j4,none,1,x3003-RIGHT,none,x3001-LEFT,none,local,0,0,R4K78A,5,3.0088063,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT']",,,,,,,,,,,,,
3003.3001.00.0003,x3003.c0.r47.j32,none,x3001.c0.r47.j3,none,1,x3003-RIGHT,none,x3001-LEFT,none,local,0,0,R4K78A,5,3.0086892,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT']",,,,,,,,,,,,,
3003.3001.00.0004,x3003.c0.r48.j29,none,x3001.c0.r47.j2,none,1,x3003-RIGHT,none,x3001-LEFT,none,local,0,0,R4K78A,5,2.9643033,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT']",,,,,,,,,,,,,
3003.3001.00.0005,x3003.c0.r48.j30,none,x3001.c0.r47.j1,none,1,x3003-RIGHT,none,x3001-LEFT,none,local,0,0,R4K78A,5,2.9642799,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT']",,,,,,,,,,,,,
3003.3001.00.0006,x3003.c0.r48.j31,none,x3001.c0.r48.j4,none,1,x3003-RIGHT,none,x3001-LEFT,none,local,0,0,R4K78A,5,2.9199064,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT']",,,,,,,,,,,,,
3003.3000.01.0000,x3003.c0.r48.j28,none,x3000.c0.r48.j5,none,1,x3003-RIGHT,none,x3000-LEFT,none,local,0,0,R4K78A,5,3.6661621,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT', 'x3001_RIGHT-x3000_LEFT']",,,,,,,,,,,,,
3003.3001.01.0000,x3003.c0.r48.j32,none,x3001.c0.r48.j3,none,1,x3003-RIGHT,none,x3001-LEFT,none,local,0,0,R4K78A,5,2.9197893,"['x3003_RIGHT-x3002_LEFT', 'x3002_RIGHT-x3001_LEFT']",,,,,,,,,,,,,
3000.3001.00.0000,x3000.c0.r47.j27,none,x3001.c0.r48.j28,none,1,x3000-LEFT,none,x3001-RIGHT,none,local,0,0,R4K61A,1.42,1.3368857,['x3001_RIGHT-x3000_LEFT'],,,,,,,,,,,,,
3000.3001.00.0001,x3000.c0.r47.j28,none,x3001.c0.r48.j27,none,1,x3000-LEFT,none,x3001-RIGHT,none,local,0,0,R4K61A,1.42,1.3404074,['x3001_RIGHT-x3000_LEFT'],,,,,,,,,,,,,
3000.3001.00.0002,x3000.c0.r47.j31,none,x3001.c0.r47.j28,none,1,x3000-LEFT,none,x3001-RIGHT,none,local,0,0,R4K61A,1.42,1.3345546,['x3001_RIGHT-x3000_LEFT'],,,,,,,,,,,,,
3000.3001.00.0003,x3000.c0.r47.j32,none,x3001.c0.r47.j27,none,1,x3000-LEFT,none,x3001-RIGHT,none,local,0,0,R4K61A,1.42,1.3447578,['x3001_RIGHT-x3000_LEFT'],,,,,,,,,,,,,
